time (PST),fog,fog tips,rain (mm),air temperature (C),relative humidity (%),wind speed (m/s),wind gust (m/s),wind direction (deg)
2003-12-19 16:00:00,0.0,0.0,0.0,15.53,27.54,0.63,0.95,92.21
2003-12-19 17:00:00,0.0,0.0,0.0,15.22,27.05,1.4,3.96,99.26
2003-12-19 18:00:00,0.0,0.0,0.0,14.68,32.86,2.07,3.75,140.33
2003-12-19 19:00:00,0.0,0.0,0.0,12.89,60.68,2.22,3.51,122.58
2003-12-19 20:00:00,0.0,0.0,0.0,13.53,49.79,2.62,4.6,119.99
2003-12-19 21:00:00,0.0,0.0,0.0,13.06,43.2,3.44,4.53,116.09
2003-12-19 22:00:00,0.0,0.0,0.0,13.59,36.41,2.12,3.21,119.3
2003-12-19 23:00:00,0.0,0.0,0.0,13.57,45.58,2.15,3.08,138.01
2003-12-20 00:00:00,0.0,0.0,0.0,13.09,69.57,2.46,4.07,130.44
2003-12-20 01:00:00,0.0,0.0,0.0,10.86,92.46,2.81,3.83,123.1
2003-12-20 02:00:00,0.0,0.0,0.0,11.16,97.84,2.46,3.05,142.73
2003-12-20 03:00:00,4.714,1.0,0.0,11.78,98.89,2.5,3.13,139.72
2003-12-20 04:00:00,0.0,0.0,0.0,12.24,99.06,1.71,2.38,130.11
2003-12-20 05:00:00,0.0,0.0,0.0,12.2,99.09,1.3,2.2,137.25
2003-12-20 06:00:00,0.0,0.0,0.0,11.87,98.89,1.45,2.27,134.04
2003-12-20 07:00:00,0.0,0.0,0.0,11.84,98.58,0.46,1.73,144.15
2003-12-20 08:00:00,0.0,0.0,0.0,11.91,98.35,0.22,1.26,149.02
2003-12-20 09:00:00,0.0,0.0,0.0,11.84,98.78,0.32,1.55,155.94
2003-12-20 10:00:00,0.0,0.0,0.0,11.51,98.96,1.67,2.5,150.41
2003-12-20 11:00:00,0.0,0.0,0.0,11.72,99.02,1.11,1.77,157.66
2003-12-20 12:00:00,0.0,0.0,0.0,12.0,98.94,0.82,1.47,155.93
2003-12-20 13:00:00,0.0,0.0,0.0,11.7,98.85,0.69,1.85,156.64
2003-12-20 14:00:00,0.0,0.0,0.0,11.66,98.49,1.09,2.17,153.78
2003-12-20 15:00:00,0.0,0.0,0.0,12.08,97.52,0.68,1.38,159.41
2003-12-20 16:00:00,0.0,0.0,0.0,12.0,97.52,0.44,1.02,247.58
2003-12-20 17:00:00,0.0,0.0,0.0,11.58,97.86,0.15,1.33,286.3
2003-12-20 18:00:00,0.0,0.0,0.0,11.13,98.14,0.72,1.43,324.26
2003-12-20 19:00:00,0.0,0.0,0.0,10.75,98.36,0.75,1.46,323.24
2003-12-20 20:00:00,0.0,0.0,0.0,10.62,98.99,0.87,1.35,325.51
2003-12-20 21:00:00,0.0,0.0,0.0,10.49,99.16,0.8,1.3,324.37
2003-12-20 22:00:00,0.0,0.0,0.0,10.38,99.17,0.41,1.18,325.45
2003-12-20 23:00:00,0.0,0.0,0.0,10.28,98.23,0.73,1.32,330.77
2003-12-21 00:00:00,0.0,0.0,0.0,10.95,95.87,0.58,1.07,325.57
2003-12-21 01:00:00,0.0,0.0,0.0,11.0,97.75,0.14,0.96,331.86
2003-12-21 02:00:00,0.0,0.0,0.0,11.13,97.05,0.01,0.33,52.74
2003-12-21 03:00:00,0.0,0.0,0.0,11.02,98.2,0.85,1.26,129.37
2003-12-21 04:00:00,0.0,0.0,0.0,10.85,99.12,0.54,1.95,158.21
2003-12-21 05:00:00,0.0,0.0,0.0,11.18,99.26,0.42,1.21,298.3
2003-12-21 06:00:00,0.0,0.0,0.0,10.85,99.15,0.37,1.07,314.42
2003-12-21 07:00:00,0.0,0.0,0.0,10.66,99.21,0.3,1.05,325.77
2003-12-21 08:00:00,0.0,0.0,0.0,11.06,95.67,0.03,0.77,277.84
2003-12-21 09:00:00,0.0,0.0,0.0,12.69,87.14,0.03,0.42,285.24
2003-12-21 10:00:00,0.0,0.0,0.0,14.38,78.17,0.16,0.82,299.49
2003-12-21 11:00:00,0.0,0.0,0.0,15.03,74.75,0.47,1.15,286.97
2003-12-21 12:00:00,0.0,0.0,0.0,15.93,77.07,1.08,2.27,200.65
2003-12-21 13:00:00,0.0,0.0,0.0,16.53,74.78,1.24,2.61,175.26
2003-12-21 14:00:00,0.0,0.0,0.0,15.44,76.5,1.0,2.63,176.26
2003-12-21 15:00:00,0.0,0.0,0.0,14.27,72.41,1.05,1.87,306.21
2003-12-21 16:00:00,0.0,0.0,0.0,12.97,78.11,1.21,1.83,325.18
2003-12-21 17:00:00,0.0,0.0,0.0,11.69,85.56,1.24,2.26,323.35
2003-12-21 18:00:00,0.0,0.0,0.0,10.76,94.46,2.01,2.72,319.74
2003-12-21 19:00:00,0.0,0.0,0.0,10.89,97.33,2.25,3.2,322.97
2003-12-21 20:00:00,0.0,0.0,0.0,10.73,93.63,2.02,2.35,328.38
2003-12-21 21:00:00,0.0,0.0,0.0,10.78,98.3,2.11,2.92,324.11
2003-12-21 22:00:00,0.0,0.0,0.0,10.98,98.54,2.22,2.97,319.64
2003-12-21 23:00:00,0.0,0.0,0.0,10.89,98.23,2.14,3.11,326.72
2003-12-22 00:00:00,0.0,0.0,0.0,10.64,98.01,1.93,2.91,327.19
2003-12-22 01:00:00,0.0,0.0,0.0,9.96,98.47,1.26,1.77,324.62
2003-12-22 02:00:00,0.0,0.0,0.0,9.45,99.09,1.31,1.92,328.85
2003-12-22 03:00:00,0.0,0.0,0.0,8.69,99.23,0.96,1.32,329.21
2003-12-22 04:00:00,0.0,0.0,0.0,8.51,99.3,1.1,1.41,329.8
2003-12-22 05:00:00,4.714,1.0,0.0,8.02,99.29,1.17,1.66,327.97
2003-12-22 06:00:00,0.0,0.0,0.0,8.62,99.42,1.51,1.92,328.78
2003-12-22 07:00:00,0.0,0.0,0.0,8.66,99.43,1.17,1.7,324.37
2003-12-22 08:00:00,0.0,0.0,0.0,9.52,95.55,0.72,1.78,72.99
2003-12-22 09:00:00,0.0,0.0,0.0,12.96,78.03,1.73,2.81,125.04
2003-12-22 10:00:00,0.0,0.0,0.0,14.42,72.98,2.36,3.12,143.24
2003-12-22 11:00:00,0.0,0.0,0.0,15.96,66.14,3.1,4.12,150.34
2003-12-22 12:00:00,0.0,0.0,0.0,16.19,55.01,3.4,4.31,148.04
2003-12-22 13:00:00,0.0,0.0,0.0,17.13,48.97,2.79,3.72,158.13
2003-12-22 14:00:00,0.0,0.0,0.0,16.88,51.45,2.95,3.55,152.92
2003-12-22 15:00:00,0.0,0.0,0.0,16.71,51.65,1.94,3.05,159.5
2003-12-22 16:00:00,0.0,0.0,0.0,14.96,76.52,0.73,1.48,286.7
2003-12-22 17:00:00,0.0,0.0,0.0,11.32,96.0,1.16,1.68,322.32
2003-12-22 18:00:00,0.0,0.0,0.0,14.38,56.98,3.05,5.7,150.21
2003-12-22 19:00:00,0.0,0.0,0.0,16.72,35.26,4.51,7.0,151.63
2003-12-22 20:00:00,0.0,0.0,0.0,17.06,33.38,3.36,5.23,159.75
2003-12-22 21:00:00,0.0,0.0,0.0,17.17,32.13,3.78,5.46,168.78
2003-12-22 22:00:00,0.0,0.0,0.0,17.31,30.39,4.11,5.9,144.29
2003-12-22 23:00:00,0.0,0.0,0.0,16.56,35.91,3.47,4.83,143.69
2003-12-23 00:00:00,0.0,0.0,0.0,15.87,37.41,5.29,6.88,146.35
2003-12-23 01:00:00,0.0,0.0,0.0,14.96,47.17,4.5,6.52,145.9
2003-12-23 02:00:00,0.0,0.0,0.0,13.54,67.52,4.83,6.05,144.01
2003-12-23 03:00:00,0.0,0.0,0.0,12.33,80.94,4.18,6.37,135.99
2003-12-23 04:00:00,0.0,0.0,0.0,13.36,69.77,5.76,7.21,147.15
2003-12-23 05:00:00,0.0,0.0,0.0,12.49,83.99,3.76,5.27,142.0
2003-12-23 06:00:00,0.0,0.0,0.0,12.19,85.94,4.19,5.92,138.38
2003-12-23 07:00:00,0.0,0.0,0.1,11.41,91.47,4.14,5.57,140.11
2003-12-23 08:00:00,0.0,0.0,0.1,10.89,93.4,4.78,6.8,135.55
2003-12-23 09:00:00,4.714,1.0,0.1,10.43,90.7,6.33,10.3,146.27
2003-12-23 10:00:00,0.0,0.0,0.0,10.59,94.2,6.2,10.08,139.7
2003-12-23 11:00:00,0.0,0.0,0.1,10.47,92.47,7.21,9.06,138.05
2003-12-23 12:00:00,0.0,0.0,0.0,10.43,92.88,6.54,8.28,140.48
2003-12-23 13:00:00,0.0,0.0,0.0,10.46,92.59,6.02,7.12,141.3
2003-12-23 14:00:00,0.0,0.0,0.0,10.18,95.36,4.24,6.37,143.96
2003-12-23 15:00:00,0.0,0.0,0.0,10.0,94.3,5.89,7.72,140.51
2003-12-23 16:00:00,0.0,0.0,0.0,10.01,95.76,5.53,7.21,141.06
2003-12-23 17:00:00,0.0,0.0,0.0,10.03,95.63,4.21,5.77,149.12
2003-12-23 18:00:00,0.0,0.0,0.0,10.25,96.51,5.02,7.02,142.46
2003-12-23 19:00:00,0.0,0.0,0.0,10.18,97.25,5.74,7.0,140.08
2003-12-23 20:00:00,0.0,0.0,0.0,10.08,96.07,5.14,6.51,140.78
2003-12-23 21:00:00,0.0,0.0,0.0,10.1,97.66,4.52,5.43,136.0
2003-12-23 22:00:00,0.0,0.0,0.0,10.26,97.5,5.0,6.1,141.76
2003-12-23 23:00:00,0.0,0.0,0.0,10.34,97.83,4.05,5.41,142.16
