time (PST),fog,fog tips,rain (mm),air temperature (C),relative humidity (%),wind speed (m/s),wind gust (m/s),wind direction (deg)
2006-01-30 13:00:00,0.0,0.0,0.0,11.942499999999999,85.675,3.214,4.02125,301.8
2006-01-30 14:00:00,0.0,0.0,0.0,12.1375,84.025,3.152,4.0255,300.375
2006-01-30 15:00:00,0.0,0.0,0.0,10.805,89.525,3.8449999999999998,4.8302499999999995,296.825
2006-01-30 16:00:00,0.0,0.0,0.0,10.095,94.425,3.9315,5.06325,293.52500000000003
2006-01-30 17:00:00,0.0,0.0,0.0,9.305,98.0,3.83,4.87275,279.675
2006-01-30 18:00:00,0.0,0.0,0.0,9.23,98.3,4.30175,5.15175,297.525
2006-01-30 19:00:00,0.0,0.0,0.0,9.1025,98.45,3.7875,4.8335,313.475
2006-01-30 20:00:00,0.0,0.0,0.0,9.17,98.525,3.6525,4.471500000000001,309.075
2006-01-30 21:00:00,0.0,0.0,0.0,9.3675,98.6,3.3055,4.1495,309.375
2006-01-30 22:00:00,0.0,0.0,0.0,10.165,98.57499999999999,3.9002499999999998,5.3545,326.775
2006-01-30 23:00:00,0.0,0.0,0.0,10.4225,96.5,3.8362499999999997,5.090999999999999,311.70000000000005
2006-01-31 00:00:00,0.0,0.0,0.0,9.7825,98.15,3.7344999999999997,4.75025,307.825
2006-01-31 01:00:00,0.0,0.0,0.0,8.7925,98.375,3.5945,4.459,307.625
2006-01-31 02:00:00,0.0,0.0,0.0,8.215,94.975,2.89725,3.78975,320.35
2006-01-31 03:00:00,0.0,0.0,0.0,8.05575,88.525,1.9917500000000001,2.94975,307.35
2006-01-31 04:00:00,0.0,0.0,0.0,7.73925,87.375,2.29925,3.47075,330.54999999999995
2006-01-31 05:00:00,0.0,0.0,0.0,7.85975,84.075,2.5875,3.51125,329.675
2006-01-31 06:00:00,0.0,0.0,0.0,7.68525,82.6,2.13275,2.84475,325.8
2006-01-31 07:00:00,0.0,0.0,0.0,7.206,86.05,1.125,1.603,311.525
2006-01-31 08:00:00,0.0,0.0,0.0,6.9345,91.4,1.3545,1.8915,302.475
2006-01-31 09:00:00,0.0,0.0,0.0,8.877500000000001,86.925,1.5495,2.05525,307.45
2006-01-31 10:00:00,0.0,0.0,0.0,10.765,83.45,1.48725,2.07425,321.55
2006-01-31 11:00:00,0.0,0.0,0.0,12.120000000000001,76.335,1.48675,1.86075,284.725
2006-01-31 12:00:00,0.0,0.0,0.0,12.1675,73.005,2.24075,2.9235,296.25
