time (PST),air temperature (C),relative humidity (%),wind speed (m/s),wind direction (deg),wind gust (m/s),rain mean (mm),rain sum (mm),rain cumsum (mm)
2014-01-31,17.190620658749722,38.097044364777055,4.013678536858616,123.06968384494733,6.048863410262155,5.691239076854134e-05,0.254,0.254
2014-02-28,14.44126066468254,62.084464533730156,3.595952504960317,173.20058258928572,5.7681032738095235,0.02809623015873016,113.284,113.53800000000001
2014-03-31,15.208552137153593,61.70786989196806,4.008143471113199,157.5844929544387,6.277184382339127,0.010976045091592298,46.736000000000004,160.274
2014-04-30,15.633226489414081,57.823086410635156,3.8954326809453472,165.48349753815853,6.233163195470212,0.0008754308222550468,3.556,163.83
2014-05-31,19.220703589256,49.95170430235322,3.7939032089374853,156.99371642500594,6.205078393154267,0.0,0.0,163.83
2014-06-30,17.119598874032373,72.64734693877551,2.3380062585034014,124.0718773164438,3.739770607553366,0.00017874736101337088,0.762,164.592
2014-07-31,20.054052419354836,70.94316756272401,2.4359467103494623,131.1206135752688,3.732062880824373,5.689964157706093e-05,0.254,0.254
2014-08-31,20.147561378659113,68.85592091595845,2.3231207825779037,124.14346789423985,3.612426463644948,0.0004796978281397545,2.032,2.286
2014-09-30,22.229608796296297,57.041634259259254,2.754894148148148,146.89194606481482,4.170103541666667,5.87962962962963e-05,0.254,2.54
2014-10-31,20.359441050011313,59.08836410952704,2.7649743629780494,135.31560964019008,4.124610138040281,0.0036786603303914913,16.256,18.796
2014-11-30,17.725483796296295,50.19191990740741,3.502165044675926,156.72299351851854,5.371139375,0.0001175925925925926,0.508,19.304
2014-12-31,13.512667786738351,71.71537186379928,4.012621597222222,162.7717475358423,6.335512275985663,0.041309139784946235,184.404,203.708
2015-01-31,15.501957661290323,54.189787186379924,3.5366159305555556,111.16240501792116,5.137487589605735,0.006031362007168459,26.924,230.632
2015-02-28,15.283625992063493,64.99013640873017,3.313958228174603,153.42289955357145,5.001560342261905,0.007055555555555555,28.448,259.08
2015-03-31,18.283337589605736,49.435138888888886,3.3729975,147.93740300179212,5.136430376344086,0.0013655913978494623,6.096,265.176
2015-04-30,16.42187962962963,49.091421296296296,3.524196435185185,153.86022430555556,5.508910393518518,0.00017638888888888888,0.762,265.938
2015-05-31,13.87132185767098,71.86099699630314,2.8388393946395563,147.06827356746766,4.447175,0.0012911275415896488,5.588,271.526
2015-06-30,18.579546296296297,67.91745601851851,2.4461748194444444,133.55011226851852,3.769345694444444,0.005526851851851852,23.876,295.402
2015-07-31,19.141068548387096,75.34587589605735,2.3199624193548387,120.6387820340502,3.6945281810035846,0.00045519713261648747,2.032,2.032
2015-08-31,21.69625837320574,62.96260047846889,2.518604521531101,127.41095837320574,3.86471971291866,0.0001215311004784689,0.508,2.54
2015-09-30,23.16690275829827,55.355547919588595,2.464465956054231,141.09221014492752,3.714526273959794,0.0009499766245909304,4.064,6.604
2015-10-31,22.120497172478792,53.97267907634307,3.3009944408576812,155.67734095193214,4.941209330819981,0.002154571159283695,9.144,15.748000000000001
2015-11-30,15.691484939759034,45.37026135310473,4.566839990732159,165.77924443929567,7.141330560704356,0.0006473586654309546,2.794,18.541999999999998
2015-12-31,12.59351085218186,53.85382682202422,5.010940941283985,185.05834978295636,7.89123813114005,0.002553347041352525,11.176,29.718
2016-01-31,12.410515008960573,69.86962365591398,4.500900256944444,169.70823163082437,7.038871057347671,0.021735663082437278,97.028,126.74600000000001
2016-02-29,18.316463362068966,35.84488266283525,4.2908009315134095,135.2350617816092,6.482201460727969,0.003406130268199234,14.224,140.97
2016-03-31,14.596670026881721,63.07061827956989,4.564649686379928,195.6500873655914,7.237310483870967,0.021337365591397848,95.25,236.22000000000003
2016-04-30,16.554436111111112,54.05023148148148,4.291030456018518,179.14500486111112,6.752732685185185,0.0037041666666666664,16.002,252.222
2016-05-31,13.845981182795699,78.52247311827958,2.6557396146953405,140.32780891577062,4.280703248207885,0.0013086917562724015,5.8420000000000005,258.064
2016-06-30,19.292429602047942,63.70193856178729,2.6710743099837093,131.38770816848964,4.089750058180125,0.0008866651151966488,3.81,261.874
2016-07-31,17.552517283448555,75.65890605937373,2.3514838999593333,115.0394611630744,3.8149200488003254,0.0001032940219601464,0.254,0.254
2016-08-31,22.796466165413534,56.62157894736842,2.594415338345865,137.6963834586466,3.9074045112781954,0.0,0.0,0.254
2016-09-30,19.739172951231772,60.31597536450478,2.8475247795374563,135.11100502765208,4.3058914027149315,0.00012770236299648066,0.508,0.762
2016-10-31,18.00066371681416,59.773694690265486,3.0086236052465236,152.03690423514539,4.549145480404551,0.002890012642225032,9.144,9.906
2016-11-30,18.576075114678897,43.96695527522935,3.996549713302752,162.54637299311926,5.886629644495413,0.0147098623853211,51.308,61.214
2016-12-31,12.039099304389541,65.02169345166706,4.384944495082754,151.4298472055649,6.657185560086352,0.01833869033341329,76.45400000000001,137.668
2017-01-31,15.972689504373177,27.335685131195333,4.527696064139942,96.83812682215743,6.3938045189504376,0.0,0.0,137.668
2017-02-28,11.790057787698412,80.49317212301587,3.863209650297619,179.78621949404763,6.163246155753969,0.059027281746031744,237.998,375.666
2017-03-31,15.87696505376344,54.63831115591398,3.984133436379928,171.0796279121864,6.069134744623656,0.017411290322580646,77.724,453.39
2017-04-30,16.077738425925926,56.257875,4.202038518518519,179.60662060185186,6.50177775462963,0.0031750000000000003,13.716000000000001,467.106
2017-05-31,15.735742383512546,66.67167114695341,3.0934902441756273,159.89237119175627,4.8684927419354835,0.0009672939068100357,4.318,471.424
2017-06-30,18.9660351794628,66.34499453292132,2.666356629427145,144.43009650582363,4.153794318992156,0.00036225338721178986,1.524,472.948
2017-07-31,20.375992383512543,70.27748655913979,2.2136943906810034,130.57411447132614,3.4051225582437277,0.0001706989247311828,0.762,0.762
2017-08-31,21.016579301075268,58.96850134408602,2.330445721326165,127.26158557347671,3.5483605062724015,5.689964157706093e-05,0.254,1.016
2017-09-30,21.039071544338967,56.26615763888889,2.968625162037037,144.4665273148148,4.532559375,0.0034689814814814817,14.986,16.002000000000002
2017-10-31,21.345604838709676,45.175591621863795,3.644755580197133,127.80116801075269,5.546653584229391,0.0,0.0,16.002000000000002
2017-11-30,17.383574074074073,56.28500694444445,3.3852928935185185,153.91215023148146,4.894064166666666,0.00017638888888888888,0.762,16.764
2017-12-31,16.53093167562724,31.930103718637994,4.135557813620071,111.69843010752689,6.381145497311827,0.0,0.0,16.764
2018-01-31,16.01102952445346,49.28741717376606,4.295130259184133,145.65260018030202,6.429901329727294,0.005323867478025693,23.622,40.385999999999996
2018-02-28,13.753114335317461,47.62943948412698,3.8921989955357144,173.02306969246033,6.137388467261905,0.0008819444444444444,3.556,43.942
2018-03-31,12.541236335125447,66.19437096774195,4.011928494623656,174.30654032258064,6.217935730286738,0.030213709677419355,134.874,178.816
2018-04-30,15.15717962962963,57.668734722222226,4.792906481481482,168.47293726851854,7.680890300925926,0.0001175925925925926,0.508,179.324
2018-05-31,14.727838905093112,71.06671752299754,3.3932573479919226,139.7677543190487,5.432378281355172,0.0006838680726946377,3.048,182.372
2018-06-30,16.99480324074074,71.32015740740741,2.400621296296296,122.84146689814814,3.7683775462962963,0.0001175925925925926,0.508,182.88
2018-07-31,22.228432735426008,65.19214798206278,2.502759417040359,113.32682466367713,3.8010979820627804,0.01178878923766816,52.577999999999996,52.577999999999996
2018-08-31,21.47521953405018,66.11186827956989,2.4574742383512547,116.58029749103942,3.7526214157706095,0.00011379928315412187,0.508,53.086
2018-09-30,18.898212962962962,71.33821921296297,2.2316171296296297,121.59632777777779,3.4147986111111113,0.0007055555555555555,3.048,56.13399999999999
2018-10-31,19.192939068100358,58.572226702508964,2.970303987455197,129.41290210573476,4.524928315412186,0.0022190860215053764,9.906,66.03999999999999
2018-11-30,16.932875,55.8362587962963,4.128295601851852,142.3081648148148,6.577981250000001,0.008819444444444444,38.1,104.14
2018-12-31,13.070238799283155,62.60023745519714,4.078383288530466,135.12149059139784,6.185400537634409,0.01035573476702509,46.228,150.368
2019-01-31,12.817757392473117,67.7298611111111,3.9995784050179206,138.8838974014337,6.312674283154122,0.03755376344086022,167.64000000000001,318.00800000000004
2019-02-28,9.190452628968254,76.6757738095238,5.138000992063492,192.02530257936507,8.323816220238095,0.03993948412698413,161.036,479.044
2019-03-31,12.76014180107527,65.24136200716846,4.019717069892473,165.9240721326165,6.3152385752688165,0.01832168458781362,81.788,560.832
2019-04-30,15.049208101851852,66.2793726851852,3.5900662037037034,157.72704282407406,5.671832407407408,0.00035277777777777776,1.524,562.356
2019-05-31,13.366698700716846,78.82320564516128,3.551391577060932,171.39583579749106,5.753170026881721,0.011835125448028673,52.832,615.188
2019-06-30,16.30798148148148,80.06242592592592,1.8798201388888889,122.67425717592592,3.0403775462962965,0.001411111111111111,6.096,621.284
2019-07-31,20.10973342293907,64.37487275985663,2.279334229390681,130.3122948028674,3.50639023297491,0.00011379928315412187,0.508,0.508
2019-08-31,20.868770161290325,63.48304435483871,2.250310707885305,135.27120967741936,3.3980642921146953,5.689964157706093e-05,0.254,0.762
2019-09-30,21.694289351851854,54.45470069444445,2.95279375,142.9529263888889,4.610837731481482,0.0,0.0,0.762
2019-10-31,20.197271505376342,36.25241285842294,3.7577215501792116,116.20535147849462,5.912469310035842,0.0,0.0,0.762
2019-11-30,16.46446180555556,50.66067546296296,3.433951851851852,138.6741861111111,5.139627314814814,0.008819444444444444,38.1,38.862
2019-12-31,12.14105017921147,70.08566532258064,4.396176075268817,159.13409453405018,7.027581765232975,0.026060035842293907,116.33200000000001,155.19400000000002
