time (PST),fog drip,rain (mm),wind gust (m/s),air temperature (C),relative humidity (%),wind speed (m/s),wind direction (deg)
2003-12-19 16:00:00,0.0,0.0,0.95,15.53,27.54,0.63,92.21
2003-12-19 17:00:00,0.0,0.0,3.96,15.22,27.05,1.4,99.26
2003-12-19 18:00:00,0.0,0.0,3.75,14.68,32.86,2.07,140.33
2003-12-19 19:00:00,0.0,0.0,3.51,12.89,60.68,2.22,122.58
2003-12-19 20:00:00,0.0,0.0,4.6,13.53,49.79,2.62,119.99
2003-12-19 21:00:00,0.0,0.0,4.53,13.06,43.2,3.44,116.09
2003-12-19 22:00:00,0.0,0.0,3.21,13.59,36.41,2.12,119.3
2003-12-19 23:00:00,0.0,0.0,3.08,13.57,45.58,2.15,138.01
2003-12-20 00:00:00,0.0,0.0,4.07,13.09,69.57,2.46,130.44
2003-12-20 01:00:00,0.0,0.0,3.83,10.86,92.46,2.81,123.1
2003-12-20 02:00:00,0.0,0.0,3.05,11.16,97.84,2.46,142.73
2003-12-20 03:00:00,4.714,0.0,3.13,11.78,98.89,2.5,139.72
2003-12-20 04:00:00,0.0,0.0,2.38,12.24,99.06,1.71,130.11
2003-12-20 05:00:00,0.0,0.0,2.2,12.2,99.09,1.3,137.25
2003-12-20 06:00:00,0.0,0.0,2.27,11.87,98.89,1.45,134.04
2003-12-20 07:00:00,0.0,0.0,1.73,11.84,98.58,0.46,144.15
2003-12-20 08:00:00,0.0,0.0,1.26,11.91,98.35,0.22,149.02
2003-12-20 09:00:00,0.0,0.0,1.55,11.84,98.78,0.32,155.94
2003-12-20 10:00:00,0.0,0.0,2.5,11.51,98.96,1.67,150.41
2003-12-20 11:00:00,0.0,0.0,1.77,11.72,99.02,1.11,157.66
2003-12-20 12:00:00,0.0,0.0,1.47,12.0,98.94,0.82,155.93
2003-12-20 13:00:00,0.0,0.0,1.85,11.7,98.85,0.69,156.64
2003-12-20 14:00:00,0.0,0.0,2.17,11.66,98.49,1.09,153.78
