time (PST),fog drip,rain (mm),wind gust (m/s),air temperature (C),relative humidity (%),wind speed (m/s),wind direction (deg)
2005-09-15 15:00:00,0.0,0.0,3.49,15.6,75.74,2.618,245.23333333333335
2005-09-15 16:00:00,0.0,0.0,3.989,13.525,84.52,3.0635,238.625
2005-09-15 17:00:00,0.0,0.0,4.513,11.7425,92.975,3.0997500000000002,241.275
2005-09-15 18:00:00,0.0,0.0,5.086,10.8775,97.95,3.9372499999999997,248.35
2005-09-15 19:00:00,0.0,0.0,4.59,10.8525,98.275,3.6135,253.45
2005-09-15 20:00:00,0.0,0.0,4.085,10.6175,97.475,2.88875,256.275
2005-09-15 21:00:00,0.0,0.0,3.34,10.515,97.575,2.4875,250.5
2005-09-15 22:00:00,0.0,0.0,3.886,10.2925,97.9,2.847,249.125
2005-09-15 23:00:00,0.0,0.0,3.642,10.165,98.1,2.5465,257.2
2005-09-16 00:00:00,0.0,0.0,3.525,10.2175,98.0,2.74375,241.425
2005-09-16 01:00:00,0.0,0.0,3.49,10.165,97.525,2.455,250.5
2005-09-16 02:00:00,0.0,0.0,2.821,10.165000000000001,97.55,1.705,238.625
2005-09-16 03:00:00,0.0,0.0,2.741,10.1025,97.625,1.2515,250.17499999999998
2005-09-16 04:00:00,0.0,0.0,1.477,10.275,97.975,0.7435,241.575
2005-09-16 05:00:00,0.0,0.0,1.276,10.37,98.25,0.65325,231.825
2005-09-16 06:00:00,0.0,0.0,1.94,10.6825,98.4,0.7505,221.0
2005-09-16 07:00:00,0.0,0.0,1.643,10.665,98.375,1.07175,242.15
2005-09-16 08:00:00,0.0,0.0,1.754,11.5,96.3,1.0135,245.725
2005-09-16 09:00:00,0.0,0.0,2.59,13.8975,85.25,1.74725,242.475
2005-09-16 10:00:00,0.0,0.0,2.679,14.955,80.275,2.0637499999999998,247.475
2005-09-16 11:00:00,0.0,0.0,3.365,15.3825,77.855,2.47025,240.95
2005-09-16 12:00:00,0.0,0.0,3.68,15.005,79.6125,2.86725,247.2
2005-09-16 13:00:00,0.0,0.0,4.049,15.2625,77.3175,2.7807500000000003,244.975
2005-09-16 14:00:00,0.0,0.0,5.016,14.375,79.37,4.068,243.275
2005-09-16 15:00:00,0.0,0.0,4.588,13.4575,82.80250000000001,3.78825,245.1
2005-09-16 16:00:00,0.0,0.0,5.116,12.317499999999999,88.375,4.22875,243.7
2005-09-16 17:00:00,0.0,0.0,5.279,11.16,94.75,4.156,251.45
2005-09-16 18:00:00,0.0,0.0,4.678,10.66,96.95,3.8375,269.1
2005-09-16 19:00:00,0.0,0.0,4.779,10.705,98.225,3.73075,261.05
2005-09-16 20:00:00,0.0,0.0,4.258,10.6225,98.55,2.75725,264.45
2005-09-16 21:00:00,0.0,0.0,2.968,10.585,98.65,1.33675,251.25
2005-09-16 22:00:00,0.0,0.0,1.13,10.88,97.2,0.5367500000000001,134.7225
2005-09-16 23:00:00,0.0,0.0,1.944,12.7975,85.8875,0.59625,134.2
2005-09-17 00:00:00,0.0,0.0,1.931,15.725,68.065,0.663,177.6
2005-09-17 01:00:00,0.0,0.0,1.383,15.9175,68.025,0.6955,264.35
2005-09-17 02:00:00,0.0,0.0,1.181,14.6475,74.0,0.60575,189.075
2005-09-17 03:00:00,0.0,0.0,1.521,14.2575,76.94,0.49075,306.25
2005-09-17 04:00:00,0.0,0.0,1.811,14.82,77.99000000000001,0.81475,299.45
2005-09-17 05:00:00,0.0,0.0,1.463,14.11,81.65,0.69075,273.25
2005-09-17 06:00:00,0.0,0.0,0.738,12.61,84.925,0.2275,174.425
2005-09-17 07:00:00,0.0,0.0,1.091,13.504999999999999,83.6125,0.32975,174.9
2005-09-17 08:00:00,0.0,0.0,1.797,15.725,75.4125,1.17375,228.025
2005-09-17 09:00:00,0.0,0.0,2.711,14.4475,88.8,1.8904999999999998,252.15
2005-09-17 10:00:00,0.0,0.0,3.425,15.2875,81.3175,2.669,247.8
2005-09-17 11:00:00,0.0,0.0,3.231,16.1125,79.2425,2.633,245.15
2005-09-17 12:00:00,0.0,0.0,3.324,17.0225,75.43,2.29175,248.475
2005-09-17 13:00:00,0.0,0.0,3.672,17.9,69.2,2.75225,248.775
2005-09-17 14:00:00,0.0,0.0,4.243,18.695,62.59,3.2664999999999997,259.475
2005-09-17 15:00:00,0.0,0.0,4.359,16.83,70.1525,3.6647499999999997,249.375
2005-09-17 16:00:00,0.0,0.0,4.121,16.2625,71.3075,3.1535,257.85
2005-09-17 17:00:00,0.0,0.0,3.992,14.3775,78.525,2.94475,261.275
2005-09-17 18:00:00,0.0,0.0,4.567,11.645,92.375,2.92575,266.125
2005-09-17 19:00:00,0.0,0.0,4.26,10.8675,95.725,3.58375,261.375
2005-09-17 20:00:00,0.0,0.0,4.136,10.7025,97.575,3.0115,256.85
2005-09-17 21:00:00,0.0,0.0,3.437,10.66,98.3,2.1385,266.275
2005-09-17 22:00:00,0.0,0.0,2.757,10.592500000000001,98.5,1.9252500000000001,270.45
2005-09-17 23:00:00,0.0,0.0,2.551,10.637500000000001,98.6,1.6915,270.975
2005-09-18 00:00:00,0.0,0.0,2.203,10.5025,98.675,1.07525,240.525
2005-09-18 01:00:00,0.0,0.0,1.583,10.37,98.775,0.6715,230.4
2005-09-18 02:00:00,0.0,0.0,1.289,10.379999999999999,98.85,0.666,220.25
2005-09-18 03:00:00,0.0,0.0,1.723,10.545,98.9,1.08175,252.725
2005-09-18 04:00:00,0.0,0.0,2.009,10.4175,98.9,1.30775,245.475
2005-09-18 05:00:00,0.0,0.0,1.519,10.43,98.9,0.6445,210.375
2005-09-18 06:00:00,0.0,0.0,0.748,11.48,98.9,0.0805,200.635
2005-09-18 07:00:00,0.0,0.0,0.849,10.6225,98.9,0.1805,226.05
2005-09-18 08:00:00,0.0,0.0,1.109,12.335,98.7,0.39175000000000004,261.575
