time (PST),air temperature (C),relative humidity (%),wind speed (m/s),wind direction (deg),wind gust (m/s),rain mean (mm),fog drip mean,rain sum (mm),fog drip sum,rain cumsum (mm),fog cumsum (mm)
2005-09-30,17.11117288135593,67.79806101694915,1.4163979661016948,192.48071593220337,1.9995430508474576,,,0.0,0.0,0.0,0.0
2005-10-31,15.777345430107527,68.06240389784946,1.5353269489247312,201.15085719086022,2.133576612903226,,,0.0,0.0,0.0,0.0
2005-11-30,14.703195319531954,62.13976639712489,1.7015970350404312,205.29015184186883,2.369099730458221,,,0.0,0.0,0.0,0.0
2005-12-31,12.8047375672043,66.75259744623656,1.3709190188172042,227.27519959677417,1.96422311827957,,,0.0,0.0,0.0,0.0
2006-01-31,11.941842352941176,64.22694453781513,1.8159912605042015,224.88132336134456,2.51676974789916,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-28,13.433644345238095,51.39708370535715,1.3969988839285714,216.37615699404762,2.0253002232142854,0.028613095238095236,0.0,76.91199999999999,0.0,76.91199999999999,0.0
2006-03-31,8.37622815860215,82.33738911290322,2.1094217069892474,267.0669885752688,2.8680729166666667,0.039871303763440856,0.0,118.657,0.0,195.569,0.0
2006-04-30,10.711489236111111,84.54375694444444,1.676975,239.67736180555556,2.3235277777777776,0.04040972222222222,0.0,116.38,0.0,311.94899999999996,0.0
2006-05-31,12.886850134408602,85.98421706989247,1.421456989247312,241.190375,1.9700638440860214,0.011901881720430108,0.0,35.42,0.0,347.36899999999997,0.0
2006-06-30,16.757996527777777,73.4299861111111,1.4502968749999998,251.37316493055553,1.9859381944444445,0.008784722222222223,0.0,25.3,0.0,372.669,0.0
2006-07-31,21.871300403225806,60.02939852150537,1.0340050403225807,227.41063306451613,1.5104173387096775,0.017512768817204302,0.0,52.118,0.0,52.118,0.0
2006-08-31,16.512548656163116,80.53375440222429,1.5075421686746988,249.37482159406858,2.057075996292864,0.01617886932344764,0.0,34.914,0.0,87.03200000000001,0.0
2006-09-30,16.2961796875,73.72535937500001,1.262846875,240.65020312500002,1.7794125,0.0375546875,0.0,48.07,0.0,135.102,0.0
2006-10-31,15.61299461641992,65.733233512786,1.544478802153432,234.7137823014805,2.1103876177658143,0.001049872139973082,0.029706965006729476,3.1202199999999998,88.2891,138.22222,88.2891
2006-11-30,15.322660069444444,61.807190972222216,1.6931243055555556,247.36003020833334,2.300497222222222,0.0024401840277777777,0.875707986111111,7.02773,2522.0389999999998,145.24995,2610.3280999999997
