,site,variable,correlation,bias,rmse,mae,type
0,Sauces Canyon,air temperature (C),0.87,1.2,2.76,2.02,raw
0,Sauces Canyon,relative humidity (%),0.82,-8.21,17.54,12.76,raw
0,Sauces Canyon,wind speed (m/s),0.58,2.96,3.68,3.06,raw
0,Sauces Canyon,wind direction (deg),0.54,-8.39,93.55,55.16,raw
0,Upper Embudo Canyon,air temperature (C),0.89,1.61,3.1,2.28,raw
0,Upper Embudo Canyon,relative humidity (%),0.83,-12.21,20.39,14.99,raw
0,Upper Embudo Canyon,wind speed (m/s),0.64,3.35,3.97,3.37,raw
0,Upper Embudo Canyon,wind direction (deg),0.63,-2.07,84.09,52.77,raw
0,NRS SCI,air temperature (C),0.9,0.54,2.42,1.87,raw
0,NRS SCI,relative humidity (%),0.82,-3.07,16.05,11.44,raw
0,NRS SCI,wind speed (m/s),0.62,-0.45,1.99,1.51,raw
0,NRS SCI,wind direction (deg),0.31,33.72,129.38,92.86,raw
