,site,variable,correlation,bias,rmse,mae,type
0,Sauces Canyon,air temperature (C),0.87,1.36,2.88,2.11,raw
0,Sauces Canyon,relative humidity (%),0.81,-9.06,18.14,13.28,raw
0,Sauces Canyon,wind speed (m/s),0.59,3.0,3.72,3.11,raw
0,Sauces Canyon,wind direction (deg),0.54,-9.33,93.32,55.06,raw
0,Upper Embudo Canyon,air temperature (C),0.89,1.55,3.06,2.23,raw
0,Upper Embudo Canyon,relative humidity (%),0.83,-12.32,20.46,15.03,raw
0,Upper Embudo Canyon,wind speed (m/s),0.63,3.03,3.66,3.05,raw
0,Upper Embudo Canyon,wind direction (deg),0.63,-1.76,84.09,52.35,raw
0,NRS SCI,air temperature (C),0.91,0.67,2.39,1.84,raw
0,NRS SCI,relative humidity (%),0.82,-4.03,16.03,11.45,raw
0,NRS SCI,wind speed (m/s),0.6,-0.18,2.18,1.65,raw
0,NRS SCI,wind direction (deg),0.32,33.85,129.92,92.61,raw
